Time,Pressure,Acceleration
1,1.1305436696414771,-1.0755861159822695
2,1.0958778565033602,-1.2036868910043862
3,1.1288314628997342,-0.6973250493892745
4,1.096217512841205,-1.065213274449836
5,1.0967223874246206,-1.1048530182442223
6,0.9255655734893779,-0.8711684365311093
7,1.082531343719602,0.11717385038330938
8,0.9105436696414771,0.22289623812853112
9,0.9406080352765545,0.07621453264909168
10,0.8647094232313628,0.3013340316315808
11,0.8741348123282436,0.6128713214206927
12,0.6853759965389437,0.7397759288599402
13,0.8524346857313327,0.8732943236162386
14,0.6099818817260846,0.6548773831869389
15,0.6868212133806145,1.071850785135111
16,0.4904261620301723,0.9482834017684242
17,0.6116279172288339,0.9760756780775581
18,0.3297371905389146,1.011883375836248
19,0.4883445585098319,1.1925340356238058
20,0.25208611417578276,0.8841490216631169
21,0.4079457335601142,0.9576435381162235
22,0.11189490254245997,0.7180491702933116
23,0.3168341641045231,0.5985799742465355
24,-0.02454508493134316,0.4950784335555433
25,0.18731932560328965,0.18753235284379963
26,-0.16335359419175374,-0.04703816198114666
27,0.10098207173872286,-0.01353272993863484
28,-0.3204369986326618,-0.12564263155160867
29,-0.03846666358498875,-0.5057790176010839
30,-0.41996561148873215,-0.6074212513410977
31,-0.16016207142646014,-0.7497184203175861
32,-0.5513524233933541,-0.8172205510640105
33,-0.3259880998522338,-0.886008620244799
34,-0.6402122604368388,-0.9258953188599499
35,-0.457881180291442,-1.042129530462967
36,-0.7302488887413661,-0.9782487448836021
37,-0.5959929815857502,-1.026401087858055
38,-0.8358209217032731,-1.1147575268393526
39,-0.7303036811411545,-0.7423859600989098
40,-0.8994791899178972,-0.7788484541315629
41,-0.8528822981137943,-0.6033331557008083
42,-0.9579785801931379,-0.6975253106578059
43,-0.929878161877661,-0.41829288216164344
44,-1.025345719999013,-0.11180905954546452
45,-0.9818818872583842,-0.09827361423450371
46,-1.0374163012117544,0.10390193583196029
47,-1.0505199433633634,0.2223405067201977
48,-1.125916995570295,0.5050302381282218
49,-1.0416960251703975,0.5401018877543889
50,-1.1444158431093153,0.47466827653733075
51,-1.096217512841205,0.728639521369792
52,-1.1685371025700587,0.745486588147101
53,-1.109923838234676,0.9209772702739343
54,-1.1904351323386047,1.066498807519395
55,-1.1394344265106229,1.1430932822437645
56,-1.2016335941917538,0.9634289895048684
57,-1.159434426510623,0.8576421453267965
58,-1.2185371025700586,1.0601445749453957
59,-1.189434426510623,1.0118318451163456
60,-1.2216335941917538,0.7963380068307374
61,-1.2058778565033602,0.9599544908076634
62,-1.2288314628997342,0.697472093786259
63,-1.196217512841205,0.6179421714392661
64,-1.2367223874246206,0.5599539316075988
65,-1.205565573489378,0.30156947702816915
66,-1.212531343719602,0.0632599602737669
67,-1.190543669641477,0.2520612984577319
68,-1.1940608035276555,-0.12328731057470656
69,-1.1647094232313628,-0.2796191636183917
70,-1.1841348123282436,-0.3807572707769997
71,-1.1853759965389437,-0.5511059963249767
72,-1.1524346857313327,-0.7423377757659586
73,-1.1099818817260846,-0.6723237191799276
74,-1.1868212133806145,-0.9238805963950596
75,-1.0904261620301723,-0.9080838382740286
76,-1.111627917228834,-1.126442111107563
77,-1.0297371905389146,-1.0125792949755866
78,-1.1883445585098319,-0.896627581026074
79,-1.0520861141757828,-0.9634047602055811
80,-1.0079457335601142,-1.1350172322303534
81,-0.9118949025424599,-0.751694209594451
82,-1.0168341641045231,-0.5985165651581457
83,-0.8245450849313432,-0.49072382025350356
84,-0.9873193256032896,-0.3204910283084318
85,-0.8633535941917537,-0.08272535048252277
86,-0.8009820717387228,-0.038459427389487966
87,-0.6204369986326618,-0.01944583901905625
88,-0.8384666635849888,0.3015949503375621
89,-0.6199656114887321,0.5186060155013063
90,-0.7601620714264601,0.6136195821215167
91,-0.5513524233933541,0.6151772186861217
92,-0.7259880998522338,0.8529068007205469
93,-0.4402122604368388,1.0560868840333285
94,-0.657881180291442,1.0035547498703478
95,-0.4302488887413661,0.9254308518889445
96,-0.5959929815857502,0.9360814983083234
97,-0.3358209217032731,1.026365990267727
98,-0.5303036811411545,0.7303350686958448
99,-0.2994791899178972,0.8339893297042517
100,-0.4528822981137943,0.709923838234676
101,-0.2579785801931379,0.4851410118544977
102,-0.429878161877661,0.5398270178491321
103,-0.225345719999013,0.2796443491417088
104,-0.3818818872583842,0.06176508210332871
105,-0.13741630121175444,-0.12788590689915995
106,-0.3505199433633634,0.05381816531349078
107,-0.125916995570295,-0.3957811977799195
108,-0.2416960251703975,-0.3243229676648348
109,-0.0444158431093153,-0.6698160210217056
110,-0.296217512841205,-0.6641147720974868
111,-0.06853710257005872,-0.7460967069399431
112,-0.209923838234676,-0.8719875143325608
113,-0.03943442651062293,-1.0252112952402173
114,-0.2016335941917538,-0.838497676694589
115,-0.05943442651062304,-1.0945929654157502
116,-0.1185371025700586,-1.0827291147040478
117,-0.08943442651062302,-0.8540860555986862
118,-0.1216335941917538,-0.7719864239840134
119,-0.1058778565033602,-0.9248434773449339
120,-0.1288314628997342,-0.718873095383921
121,-0.09621751284120501,-0.5186884699539401
122,-0.1367223874246206,-0.5599539316075988
123,-0.105565573489378,-0.344439167389658
124,-0.112531343719602,-0.16521743132038756
125,-0.09054366964147714,-0.046903738018269786
126,-0.09406080352765545,0.08906560447361816
127,-0.06470942323136284,0.4862419077461942
128,-0.0841348123282436,0.27988358485208575
129,-0.08537599653894371,0.597658097561919
130,-0.05243468573133271,0.6723237191799276
131,-0.009981881726084606,0.9238805963950596
132,-0.0868212133806145,0.7854619456574971
133,0.09042616203017231,1.0118671424915668
134,0.01162791722883392,1.029864273822187
135,0.12973719053891462,0.9168434608310065
136,-0.0883445585098319,0.760779774577828
137,0.15208611417578276,1.026401087858055
138,0.00794573356011422,0.8596660144577142
139,0.21189490254245997,0.8251268383804825
140,0.0168341641045231,0.5367503770417937
141,0.22454508493134315,0.4851608677271887
142,0.08731932560328965,0.18029013233895318
143,0.26335359419175374,-0.01353272993863484
144,0.10098207173872286,-0.12328731057470656
145,0.3204369986326618,-0.2642152862086127
146,0.23846666358498875,-0.5057790176010839
147,0.41996561148873215,-0.6074212513410977
148,0.26016207142646014,-0.7497184203175861
149,0.4513524233933541,-0.6151772186861217
150,0.3259880998522338,-0.8529068007205469
151,0.5402122604368388,-1.0560868840333285
152,0.457881180291442,-1.0035547498703478
153,0.6302488887413661,-0.9254308518889445
154,0.4959929815857502,-0.9360814983083234
155,0.7358209217032731,-1.026365990267727
156,0.6303036811411545,-0.7303350686958448
157,0.7994791899178972,-0.8339893297042517
158,0.7528822981137943,-0.709923838234676
159,0.8579785801931379,-0.4851410118544977
160,0.829878161877661,-0.5398270178491321
161,0.8896570909947477,-0.9242774510931532
162,0.9229315620056804,-0.5888217758230989
163,0.9504440907401112,-0.9946556416201144
164,0.9968784563700583,-1.080217056781837
165,0.9875333135495005,-0.9502827527931751
166,0.9520229140804107,-1.4010879149001
167,0.9304326456333607,-0.6338385199073607
168,0.8508284131333607,-0.6338385199073607
